audit_id,flight_date,station_code,handler_name,turnaround_target_mins,turnaround_actual_mins,turnaround_variance_mins,is_on_time,baggage_delay_mins,safety_incident_flag
43,2025-02-02 00:00:00,YUL,Menzies,60,86,26,f,4,f
44,2025-02-12 00:00:00,JFK,Menzies,45,67,22,f,4,f
45,2025-06-19 00:00:00,FRA,WFS,45,67,22,f,7,f
46,2025-11-02 00:00:00,DXB,Menzies,45,52,7,f,28,f
47,2025-06-15 00:00:00,JFK,Swissport,60,59,-1,t,24,f
48,2025-03-28 00:00:00,FRA,Swissport,90,51,-39,t,1,f
49,2025-08-21 00:00:00,SIN,Swissport,45,68,23,f,22,f
50,2025-03-31 00:00:00,YUL,Menzies,120,55,-65,t,14,f
51,2025-10-08 00:00:00,LHR,Menzies,45,80,35,f,19,f
52,2025-12-17 00:00:00,SIN,WFS,60,82,22,f,11,f
53,2025-08-05 00:00:00,FRA,Menzies,45,77,32,f,7,f
54,2025-07-01 00:00:00,NRT,WFS,45,71,26,f,11,f
55,2025-10-31 00:00:00,JFK,dnata,60,39,-21,t,15,f
56,2025-02-01 00:00:00,FRA,Menzies,120,61,-59,t,8,f
57,2025-12-11 00:00:00,YUL,WFS,90,31,-59,t,39,f
58,2025-05-01 00:00:00,FRA,Menzies,45,50,5,f,19,f
59,2025-12-24 00:00:00,FRA,dnata,60,79,19,f,22,f
60,2025-09-09 00:00:00,YUL,dnata,120,71,-49,t,23,f
61,2025-09-26 00:00:00,DXB,Menzies,120,89,-31,t,8,t
62,2025-03-15 00:00:00,JFK,dnata,90,53,-37,t,11,f
63,2025-04-11 00:00:00,JFK,Menzies,120,95,-25,t,22,f
64,2025-05-28 00:00:00,DXB,dnata,90,54,-36,t,20,f
65,2025-07-11 00:00:00,FRA,Menzies,45,54,9,f,11,f
66,2025-10-19 00:00:00,JFK,Menzies,90,36,-54,t,4,f
67,2025-08-26 00:00:00,FRA,Menzies,120,41,-79,t,14,f
69,2025-01-15 00:00:00,YUL,Swissport,120,47,-73,t,3,f
70,2025-01-18 00:00:00,DXB,Menzies,45,60,15,f,26,f
71,2025-02-08 00:00:00,DXB,Menzies,90,47,-43,t,28,f
72,2025-11-08 00:00:00,LHR,Swissport,45,54,9,f,23,f
73,2025-06-14 00:00:00,DXB,Menzies,60,69,9,f,15,f
74,2025-04-04 00:00:00,NRT,dnata,45,88,43,f,11,f
75,2025-10-03 00:00:00,DXB,Menzies,60,71,11,f,6,f
76,2025-04-22 00:00:00,JFK,Menzies,45,91,46,f,18,f
77,2025-03-15 00:00:00,JFK,Menzies,45,32,-13,t,15,f
78,2025-11-03 00:00:00,SIN,Menzies,90,77,-13,t,15,f
79,2025-01-29 00:00:00,JFK,Swissport,120,47,-73,t,13,f
80,2025-01-15 00:00:00,JFK,WFS,90,73,-17,t,4,f
81,2025-08-13 00:00:00,JFK,Menzies,90,73,-17,t,16,f
82,2025-07-01 00:00:00,JFK,dnata,45,68,23,f,16,f
83,2025-04-14 00:00:00,YUL,dnata,60,63,3,f,29,f
84,2025-08-24 00:00:00,LHR,WFS,90,69,-21,t,17,f
85,2025-05-21 00:00:00,SIN,Swissport,120,74,-46,t,13,f
86,2025-03-12 00:00:00,FRA,dnata,120,32,-88,t,10,f
87,2025-11-04 00:00:00,FRA,Menzies,120,54,-66,t,24,f
88,2025-12-02 00:00:00,LHR,Menzies,120,69,-51,t,20,f
89,2025-01-20 00:00:00,DXB,Menzies,60,67,7,f,10,f
90,2025-11-15 00:00:00,LHR,dnata,120,51,-69,t,20,f
91,2025-05-10 00:00:00,YUL,dnata,90,69,-21,t,4,f
92,2025-12-21 00:00:00,YUL,WFS,90,79,-11,t,3,f
93,2025-09-15 00:00:00,JFK,Menzies,45,75,30,f,21,f
94,2025-03-10 00:00:00,SIN,Swissport,45,61,16,f,19,f
95,2025-03-27 00:00:00,NRT,WFS,60,84,24,f,18,f
96,2025-07-20 00:00:00,YUL,dnata,120,79,-41,t,22,f
97,2025-10-22 00:00:00,JFK,Menzies,60,32,-28,t,22,f
98,2025-11-27 00:00:00,DXB,Menzies,120,49,-71,t,7,f
99,2025-02-20 00:00:00,LHR,WFS,45,88,43,f,22,f
100,2025-10-18 00:00:00,DXB,WFS,90,58,-32,t,2,f
101,2025-01-04 00:00:00,JFK,Menzies,120,50,-70,t,26,f
102,2025-04-21 00:00:00,YUL,dnata,60,48,-12,t,17,f
103,2025-05-01 00:00:00,SIN,Menzies,60,102,42,f,16,f
104,2025-10-10 00:00:00,LHR,Menzies,60,65,5,f,17,f
105,2025-09-06 00:00:00,YUL,Menzies,90,57,-33,t,20,f
106,2025-07-31 00:00:00,NRT,Menzies,60,75,15,f,22,f
107,2025-10-01 00:00:00,YUL,Menzies,45,85,40,f,9,f
108,2025-03-11 00:00:00,LHR,dnata,90,75,-15,t,11,t
109,2025-05-26 00:00:00,FRA,dnata,60,57,-3,t,21,f
110,2025-01-01 00:00:00,YUL,dnata,60,86,26,f,12,f
111,2025-05-01 00:00:00,FRA,Swissport,45,49,4,f,27,f
112,2025-09-19 00:00:00,SIN,Menzies,60,79,19,f,19,f
113,2025-04-07 00:00:00,LHR,WFS,45,89,44,f,15,f
114,2025-11-24 00:00:00,SIN,Menzies,90,75,-15,t,12,f
115,2025-07-27 00:00:00,LHR,Menzies,120,90,-30,t,12,f
116,2025-12-17 00:00:00,FRA,WFS,45,65,20,f,6,f
117,2025-12-10 00:00:00,DXB,Menzies,120,92,-28,t,16,t
118,2025-04-12 00:00:00,FRA,dnata,60,85,25,f,29,f
119,2025-08-25 00:00:00,JFK,dnata,45,67,22,f,1,f
120,2025-11-01 00:00:00,DXB,WFS,60,70,10,f,26,f
121,2025-03-25 00:00:00,NRT,Menzies,45,46,1,f,33,f
122,2025-04-05 00:00:00,DXB,Menzies,90,55,-35,t,9,f
123,2025-05-14 00:00:00,NRT,WFS,120,77,-43,t,8,f
124,2025-12-01 00:00:00,LHR,Menzies,45,102,57,f,9,f
125,2025-12-10 00:00:00,SIN,Menzies,45,62,17,f,28,f
126,2025-07-01 00:00:00,SIN,dnata,90,53,-37,t,22,f
127,2025-08-24 00:00:00,DXB,Swissport,120,64,-56,t,20,f
128,2025-04-11 00:00:00,JFK,Menzies,90,70,-20,t,7,f
129,2025-01-31 00:00:00,YUL,WFS,90,63,-27,t,17,f
130,2025-07-19 00:00:00,LHR,Menzies,60,79,19,f,13,f
131,2025-04-12 00:00:00,NRT,dnata,60,76,16,f,35,f
132,2025-04-30 00:00:00,YUL,Menzies,45,86,41,f,5,f
133,2025-02-09 00:00:00,YUL,Menzies,90,73,-17,t,0,f
134,2025-02-27 00:00:00,DXB,Swissport,45,79,34,f,0,f
135,2025-04-13 00:00:00,LHR,Swissport,120,64,-56,t,6,f
136,2025-09-06 00:00:00,SIN,dnata,90,65,-25,t,12,f
137,2025-12-04 00:00:00,FRA,dnata,60,43,-17,t,8,f
138,2025-12-05 00:00:00,LHR,dnata,90,70,-20,t,18,f
139,2025-04-10 00:00:00,FRA,Swissport,45,64,19,f,26,f
140,2025-02-09 00:00:00,DXB,dnata,60,60,0,t,15,f
141,2025-05-07 00:00:00,NRT,Menzies,45,59,14,f,10,f
142,2025-04-10 00:00:00,JFK,Swissport,120,47,-73,t,0,f
143,2025-05-25 00:00:00,LHR,dnata,60,59,-1,t,3,f
144,2025-05-25 00:00:00,NRT,Menzies,60,65,5,f,24,f
145,2025-07-24 00:00:00,JFK,Swissport,90,50,-40,t,15,f
146,2025-12-16 00:00:00,LHR,WFS,90,60,-30,t,17,f
147,2025-06-19 00:00:00,LHR,dnata,90,52,-38,t,8,f
148,2025-12-22 00:00:00,DXB,dnata,120,64,-56,t,26,f
149,2025-02-01 00:00:00,JFK,dnata,45,47,2,f,20,f
150,2025-11-06 00:00:00,FRA,dnata,45,82,37,f,14,f
151,2025-12-25 00:00:00,NRT,Menzies,45,59,14,f,6,f
152,2025-07-13 00:00:00,LHR,WFS,120,74,-46,t,18,f
153,2025-12-17 00:00:00,FRA,Swissport,45,56,11,f,13,f
154,2025-12-29 00:00:00,JFK,WFS,45,66,21,f,23,f
155,2025-04-07 00:00:00,YUL,Swissport,60,70,10,f,27,f
156,2025-01-06 00:00:00,YUL,Swissport,90,72,-18,t,16,f
157,2025-04-04 00:00:00,YUL,Menzies,60,56,-4,t,10,f
158,2025-05-16 00:00:00,JFK,Swissport,120,54,-66,t,13,f
159,2025-09-20 00:00:00,SIN,dnata,120,37,-83,t,3,f
160,2025-12-12 00:00:00,YUL,Menzies,120,55,-65,t,13,f
161,2025-01-03 00:00:00,LHR,Menzies,90,69,-21,t,20,f
162,2025-10-06 00:00:00,JFK,WFS,45,62,17,f,15,f
163,2025-11-05 00:00:00,JFK,Menzies,120,65,-55,t,15,f
164,2025-03-16 00:00:00,YUL,WFS,60,69,9,f,10,f
165,2025-12-14 00:00:00,DXB,Swissport,120,64,-56,t,23,f
166,2025-06-26 00:00:00,NRT,Menzies,120,71,-49,t,17,f
167,2025-01-12 00:00:00,LHR,Menzies,60,66,6,f,20,f
168,2025-07-03 00:00:00,NRT,Swissport,120,52,-68,t,19,f
169,2025-01-20 00:00:00,SIN,Menzies,45,36,-9,t,9,f
170,2025-01-03 00:00:00,YUL,dnata,60,56,-4,t,15,f
171,2025-02-06 00:00:00,FRA,Menzies,90,86,-4,t,11,f
172,2025-06-20 00:00:00,LHR,Menzies,45,69,24,f,11,f
173,2025-10-21 00:00:00,YUL,Menzies,45,39,-6,t,11,f
174,2025-02-15 00:00:00,DXB,Menzies,120,52,-68,t,20,f
175,2025-06-10 00:00:00,JFK,WFS,60,52,-8,t,6,f
176,2025-04-05 00:00:00,LHR,dnata,45,64,19,f,11,f
177,2025-05-30 00:00:00,SIN,dnata,60,53,-7,t,11,f
178,2025-01-13 00:00:00,NRT,Menzies,45,79,34,f,15,f
179,2025-05-20 00:00:00,FRA,Swissport,45,76,31,f,12,f
180,2025-06-05 00:00:00,FRA,dnata,90,71,-19,t,24,f
181,2025-05-03 00:00:00,LHR,Menzies,60,69,9,f,17,f
182,2025-11-28 00:00:00,DXB,Menzies,90,48,-42,t,15,f
183,2025-07-30 00:00:00,LHR,WFS,45,72,27,f,21,f
184,2025-07-13 00:00:00,YUL,Swissport,90,57,-33,t,22,f
185,2025-07-10 00:00:00,JFK,dnata,120,65,-55,t,8,f
186,2025-04-17 00:00:00,SIN,dnata,90,72,-18,t,23,f
187,2025-11-06 00:00:00,FRA,Swissport,120,35,-85,t,22,f
188,2025-09-17 00:00:00,LHR,Menzies,45,54,9,f,21,f
189,2025-08-09 00:00:00,FRA,Menzies,45,72,27,f,9,f
190,2025-11-12 00:00:00,FRA,Menzies,45,71,26,f,16,f
191,2025-10-26 00:00:00,YUL,Menzies,120,66,-54,t,23,f
192,2025-07-20 00:00:00,NRT,Swissport,45,84,39,f,16,f
193,2025-04-13 00:00:00,FRA,Menzies,120,80,-40,t,13,f
194,2025-02-05 00:00:00,LHR,Menzies,90,47,-43,t,14,f
195,2025-06-17 00:00:00,LHR,Menzies,90,66,-24,t,27,f
196,2025-09-14 00:00:00,LHR,Menzies,60,66,6,f,0,f
197,2025-12-12 00:00:00,JFK,Swissport,45,64,19,f,20,f
198,2025-07-27 00:00:00,SIN,Menzies,60,53,-7,t,8,f
199,2025-05-08 00:00:00,JFK,WFS,90,49,-41,t,16,f
200,2025-09-05 00:00:00,NRT,dnata,45,68,23,f,22,f
201,2025-12-25 00:00:00,FRA,WFS,60,47,-13,t,15,f
202,2025-06-05 00:00:00,NRT,WFS,120,70,-50,t,2,f
203,2025-04-10 00:00:00,NRT,WFS,60,44,-16,t,11,f
204,2025-05-05 00:00:00,JFK,WFS,120,54,-66,t,18,f
205,2025-07-06 00:00:00,JFK,Swissport,90,61,-29,t,4,f
206,2025-10-06 00:00:00,YUL,WFS,45,62,17,f,18,f
207,2025-10-21 00:00:00,JFK,dnata,60,68,8,f,21,f
208,2025-07-14 00:00:00,SIN,Menzies,60,70,10,f,27,f
209,2025-07-19 00:00:00,FRA,Menzies,45,52,7,f,19,f
210,2025-04-09 00:00:00,FRA,dnata,45,71,26,f,15,f
211,2025-10-13 00:00:00,JFK,Menzies,90,102,12,f,15,f
212,2025-07-12 00:00:00,LHR,dnata,90,85,-5,t,8,f
213,2025-04-21 00:00:00,JFK,dnata,90,56,-34,t,14,f
214,2025-08-24 00:00:00,FRA,Menzies,60,75,15,f,9,f
215,2025-11-16 00:00:00,LHR,dnata,90,68,-22,t,14,f
216,2025-06-05 00:00:00,NRT,Menzies,45,37,-8,t,7,f
217,2025-06-21 00:00:00,NRT,WFS,120,72,-48,t,14,f
218,2025-06-07 00:00:00,SIN,Swissport,45,83,38,f,16,f
219,2025-04-28 00:00:00,YUL,WFS,120,66,-54,t,0,f
220,2025-10-09 00:00:00,FRA,Swissport,120,53,-67,t,4,f
221,2025-03-06 00:00:00,JFK,Swissport,90,60,-30,t,17,f
222,2025-04-29 00:00:00,NRT,Menzies,45,86,41,f,19,f
223,2025-06-06 00:00:00,DXB,Menzies,60,95,35,f,14,f
224,2025-12-28 00:00:00,FRA,Swissport,90,65,-25,t,27,f
225,2025-11-06 00:00:00,NRT,dnata,45,61,16,f,19,f
227,2025-05-20 00:00:00,LHR,WFS,45,66,21,f,23,f
228,2025-01-25 00:00:00,YUL,Menzies,120,81,-39,t,29,f
229,2025-06-18 00:00:00,DXB,Menzies,90,81,-9,t,15,f
230,2025-08-24 00:00:00,NRT,Menzies,45,76,31,f,0,f
231,2025-11-14 00:00:00,SIN,WFS,120,68,-52,t,15,f
232,2025-07-20 00:00:00,FRA,WFS,60,69,9,f,11,f
233,2025-03-03 00:00:00,FRA,WFS,60,68,8,f,16,f
234,2025-02-15 00:00:00,JFK,Swissport,120,67,-53,t,19,f
235,2025-04-08 00:00:00,NRT,Swissport,45,76,31,f,0,f
236,2025-01-05 00:00:00,LHR,Menzies,90,75,-15,t,26,f
237,2025-09-24 00:00:00,NRT,Swissport,120,81,-39,t,17,f
238,2025-06-23 00:00:00,JFK,dnata,120,40,-80,t,11,f
239,2025-11-05 00:00:00,FRA,Swissport,45,83,38,f,24,f
240,2025-05-11 00:00:00,FRA,Swissport,120,60,-60,t,10,f
241,2025-02-23 00:00:00,LHR,dnata,60,100,40,f,21,f
242,2025-05-09 00:00:00,DXB,Swissport,45,100,55,f,6,f
243,2025-12-04 00:00:00,LHR,Menzies,45,83,38,f,17,f
244,2025-07-21 00:00:00,YUL,Menzies,120,57,-63,t,21,f
245,2025-02-06 00:00:00,YUL,Swissport,60,51,-9,t,26,f
246,2025-04-28 00:00:00,FRA,Menzies,45,51,6,f,29,f
247,2025-07-08 00:00:00,DXB,dnata,60,91,31,f,19,f
248,2025-05-19 00:00:00,FRA,Menzies,60,54,-6,t,11,f
249,2025-09-03 00:00:00,FRA,Menzies,120,79,-41,t,27,f
250,2025-10-24 00:00:00,JFK,WFS,45,40,-5,t,16,f
251,2025-08-20 00:00:00,YUL,dnata,120,58,-62,t,7,f
252,2025-11-15 00:00:00,DXB,Menzies,120,78,-42,t,6,f
253,2025-09-22 00:00:00,LHR,dnata,120,59,-61,t,13,f
254,2025-12-28 00:00:00,SIN,Menzies,45,41,-4,t,11,f
255,2025-08-09 00:00:00,NRT,dnata,120,54,-66,t,5,f
256,2025-01-06 00:00:00,YUL,Menzies,45,82,37,f,21,f
257,2025-05-17 00:00:00,YUL,dnata,120,66,-54,t,21,f
258,2025-11-11 00:00:00,JFK,Menzies,90,63,-27,t,28,f
259,2025-06-16 00:00:00,JFK,Menzies,45,50,5,f,12,f
260,2025-10-18 00:00:00,JFK,Menzies,120,34,-86,t,20,f
261,2025-05-21 00:00:00,LHR,Swissport,60,70,10,f,23,f
262,2025-09-27 00:00:00,JFK,WFS,90,65,-25,t,0,f
263,2025-03-24 00:00:00,NRT,Menzies,90,74,-16,t,30,f
264,2025-01-26 00:00:00,FRA,Menzies,90,54,-36,t,5,f
265,2025-05-10 00:00:00,NRT,Menzies,45,70,25,f,22,f
266,2025-11-15 00:00:00,JFK,Menzies,45,81,36,f,12,f
267,2025-12-23 00:00:00,NRT,Menzies,45,86,41,f,2,f
268,2025-01-18 00:00:00,YUL,Menzies,60,62,2,f,11,f
269,2025-10-01 00:00:00,YUL,dnata,60,54,-6,t,21,f
270,2025-08-18 00:00:00,FRA,Swissport,60,62,2,f,5,f
271,2025-09-24 00:00:00,SIN,Swissport,60,25,-35,t,14,f
272,2025-09-07 00:00:00,LHR,Menzies,45,70,25,f,14,f
274,2025-05-28 00:00:00,LHR,Swissport,90,60,-30,t,17,f
275,2025-04-17 00:00:00,FRA,Swissport,60,55,-5,t,5,f
276,2025-08-04 00:00:00,LHR,Menzies,120,74,-46,t,23,f
277,2025-12-02 00:00:00,SIN,Menzies,45,43,-2,t,17,f
278,2025-01-19 00:00:00,YUL,WFS,120,51,-69,t,9,f
279,2025-05-12 00:00:00,LHR,dnata,45,47,2,f,10,f
280,2025-06-20 00:00:00,YUL,Menzies,90,38,-52,t,25,f
281,2025-10-06 00:00:00,JFK,Swissport,45,57,12,f,32,f
282,2025-01-13 00:00:00,JFK,dnata,45,71,26,f,22,f
283,2025-08-24 00:00:00,YUL,Menzies,120,52,-68,t,9,f
284,2025-12-04 00:00:00,DXB,WFS,45,70,25,f,9,f
285,2025-06-19 00:00:00,DXB,Menzies,120,75,-45,t,27,f
286,2025-05-21 00:00:00,DXB,dnata,45,47,2,f,13,f
287,2025-10-20 00:00:00,FRA,Swissport,45,73,28,f,7,f
289,2025-10-05 00:00:00,FRA,WFS,90,78,-12,t,25,f
290,2025-09-25 00:00:00,LHR,WFS,120,71,-49,t,16,f
291,2025-07-07 00:00:00,NRT,WFS,90,75,-15,t,12,f
292,2025-09-10 00:00:00,LHR,Menzies,45,70,25,f,26,f
293,2025-09-02 00:00:00,YUL,dnata,45,60,15,f,21,f
294,2025-06-13 00:00:00,SIN,WFS,90,61,-29,t,7,f
295,2025-08-23 00:00:00,NRT,Menzies,90,60,-30,t,27,f
296,2025-09-06 00:00:00,FRA,Swissport,120,31,-89,t,25,f
297,2025-02-02 00:00:00,JFK,Swissport,45,70,25,f,28,f
298,2025-02-15 00:00:00,NRT,Menzies,90,71,-19,t,14,f
299,2025-11-06 00:00:00,DXB,Menzies,45,71,26,f,18,f
300,2025-09-11 00:00:00,NRT,dnata,120,85,-35,t,22,f
301,2025-09-16 00:00:00,DXB,Menzies,45,53,8,f,23,f
302,2025-02-20 00:00:00,SIN,WFS,60,96,36,f,15,t
303,2025-02-10 00:00:00,YUL,WFS,45,47,2,f,14,f
304,2025-09-20 00:00:00,DXB,dnata,60,42,-18,t,24,f
305,2025-11-30 00:00:00,SIN,dnata,90,58,-32,t,10,f
306,2025-01-25 00:00:00,LHR,WFS,90,50,-40,t,22,f
307,2025-12-27 00:00:00,LHR,Menzies,120,64,-56,t,11,f
308,2025-08-16 00:00:00,YUL,Menzies,90,54,-36,t,2,f
309,2025-02-20 00:00:00,FRA,dnata,120,83,-37,t,16,f
310,2025-01-21 00:00:00,YUL,Swissport,60,98,38,f,27,f
311,2025-08-29 00:00:00,NRT,WFS,45,63,18,f,22,f
312,2025-11-13 00:00:00,LHR,WFS,45,70,25,f,8,f
313,2025-04-03 00:00:00,SIN,WFS,45,54,9,f,30,f
314,2025-12-04 00:00:00,FRA,Menzies,45,74,29,f,21,f
315,2025-12-16 00:00:00,DXB,Menzies,120,83,-37,t,19,f
316,2025-09-21 00:00:00,LHR,Menzies,90,58,-32,t,15,f
317,2025-12-17 00:00:00,LHR,WFS,90,61,-29,t,24,f
318,2025-12-04 00:00:00,DXB,dnata,120,77,-43,t,19,t
319,2025-04-24 00:00:00,YUL,Menzies,60,32,-28,t,22,f
320,2025-07-23 00:00:00,YUL,WFS,45,52,7,f,17,f
321,2025-11-21 00:00:00,DXB,Menzies,45,55,10,f,22,f
322,2025-07-14 00:00:00,FRA,Swissport,120,30,-90,t,9,f
323,2025-01-26 00:00:00,YUL,dnata,90,63,-27,t,4,f
324,2025-11-07 00:00:00,JFK,Swissport,45,95,50,f,0,f
325,2025-09-07 00:00:00,JFK,Menzies,90,80,-10,t,9,f
326,2025-03-04 00:00:00,FRA,Menzies,60,66,6,f,13,f
327,2025-07-14 00:00:00,FRA,WFS,90,70,-20,t,7,f
328,2025-03-24 00:00:00,YUL,Menzies,120,75,-45,t,35,f
329,2025-07-19 00:00:00,DXB,WFS,90,65,-25,t,17,f
330,2025-04-21 00:00:00,YUL,WFS,60,88,28,f,27,f
331,2025-11-17 00:00:00,SIN,Swissport,120,77,-43,t,29,f
332,2025-12-03 00:00:00,YUL,dnata,120,60,-60,t,16,f
333,2025-05-15 00:00:00,NRT,WFS,60,56,-4,t,36,f
334,2025-05-08 00:00:00,YUL,Swissport,60,63,3,f,23,f
335,2025-03-10 00:00:00,DXB,dnata,45,66,21,f,14,f
336,2025-05-09 00:00:00,NRT,Swissport,120,80,-40,t,17,f
337,2025-01-18 00:00:00,DXB,WFS,90,92,2,f,21,f
338,2025-12-10 00:00:00,SIN,Menzies,45,53,8,f,19,f
339,2025-11-26 00:00:00,DXB,Swissport,120,43,-77,t,12,f
340,2025-01-07 00:00:00,FRA,Menzies,45,74,29,f,0,f
341,2025-07-03 00:00:00,NRT,Menzies,90,65,-25,t,17,f
342,2025-05-27 00:00:00,DXB,Menzies,120,81,-39,t,6,f
343,2025-02-01 00:00:00,YUL,Menzies,120,42,-78,t,12,f
344,2025-01-07 00:00:00,DXB,WFS,90,92,2,f,20,f
345,2025-09-24 00:00:00,JFK,dnata,60,75,15,f,18,f
346,2025-06-13 00:00:00,LHR,Menzies,60,46,-14,t,9,f
347,2025-04-29 00:00:00,SIN,Menzies,120,91,-29,t,13,f
348,2025-06-12 00:00:00,YUL,Swissport,90,56,-34,t,17,f
349,2025-09-02 00:00:00,SIN,Menzies,120,68,-52,t,19,f
350,2025-05-29 00:00:00,JFK,Menzies,90,50,-40,t,23,f
351,2025-08-20 00:00:00,DXB,WFS,120,61,-59,t,22,f
352,2025-06-14 00:00:00,YUL,dnata,60,94,34,f,20,f
353,2025-12-21 00:00:00,SIN,WFS,45,43,-2,t,28,f
354,2025-12-25 00:00:00,YUL,Swissport,45,50,5,f,13,f
355,2025-04-03 00:00:00,NRT,Swissport,120,96,-24,t,17,f
356,2025-03-29 00:00:00,SIN,dnata,120,85,-35,t,16,f
357,2025-10-26 00:00:00,DXB,WFS,60,45,-15,t,19,f
358,2025-10-19 00:00:00,DXB,dnata,90,98,8,f,18,f
359,2025-04-25 00:00:00,LHR,Menzies,60,67,7,f,16,f
360,2025-11-24 00:00:00,DXB,dnata,90,53,-37,t,18,f
361,2025-07-12 00:00:00,DXB,Menzies,45,67,22,f,20,f
362,2025-09-25 00:00:00,YUL,dnata,45,79,34,f,19,f
363,2025-03-19 00:00:00,DXB,Menzies,45,65,20,f,12,f
364,2025-07-17 00:00:00,YUL,WFS,60,73,13,f,18,f
365,2025-03-01 00:00:00,YUL,dnata,90,80,-10,t,16,t
366,2025-09-27 00:00:00,YUL,Swissport,90,55,-35,t,22,f
367,2025-12-02 00:00:00,FRA,WFS,120,76,-44,t,27,f
368,2025-09-04 00:00:00,YUL,Menzies,60,84,24,f,12,f
369,2025-01-01 00:00:00,YUL,Menzies,60,78,18,f,13,f
370,2025-03-06 00:00:00,LHR,dnata,120,40,-80,t,7,f
371,2025-09-18 00:00:00,SIN,Swissport,60,70,10,f,14,f
372,2025-10-10 00:00:00,NRT,Menzies,120,66,-54,t,3,f
373,2025-01-06 00:00:00,NRT,Menzies,45,52,7,f,10,f
374,2025-05-24 00:00:00,YUL,Swissport,60,89,29,f,21,f
375,2025-05-26 00:00:00,SIN,Menzies,90,81,-9,t,12,f
376,2025-10-20 00:00:00,FRA,dnata,60,67,7,f,12,f
377,2025-05-07 00:00:00,YUL,Swissport,120,55,-65,t,25,f
378,2025-10-07 00:00:00,JFK,WFS,120,81,-39,t,12,f
379,2025-01-02 00:00:00,JFK,WFS,120,64,-56,t,2,f
380,2025-04-01 00:00:00,LHR,dnata,120,45,-75,t,21,f
381,2025-04-23 00:00:00,NRT,Menzies,120,34,-86,t,14,f
382,2025-11-27 00:00:00,NRT,Swissport,60,72,12,f,7,f
383,2025-02-26 00:00:00,DXB,Menzies,90,39,-51,t,11,f
384,2025-02-03 00:00:00,DXB,WFS,60,44,-16,t,13,f
385,2025-05-26 00:00:00,LHR,WFS,120,47,-73,t,15,f
386,2025-03-07 00:00:00,SIN,Menzies,60,61,1,f,23,f
387,2025-12-25 00:00:00,JFK,Swissport,120,49,-71,t,0,f
