audit_id,station_code,handler_name,flight_date,turnaround_target_mins,turnaround_actual_mins,baggage_delay_mins,safety_incident_flag
163,JFK,Menzies Aviation,2025-11-05,120,65.0,15.0,False
164,YUL,WFS,2025-03-16,60,69.0,10.0,False
165,DXB,Swissport,2025-12-14,120,64.0,23.0,False
166,NRT,Menzies,2025-06-26,120,71.0,17.0,False
167,LHR,Menzies Aviation,2025-01-12,60,66.0,20.0,False
168,NRT,Swissport,2025-07-03,120,52.0,19.0,False
169,SIN,Menzies Aviation,2025-01-20,45,36.0,9.0,False
170,YUL,dnata,2025-01-03,60,56.0,15.0,False
171,FRA,Menzies Aviation,2025-02-06,90,86.0,11.0,False
172,LHR,Menzies Aviation,2025-06-20,45,69.0,11.0,False
173,YUL,Menzies Aviation,2025-10-21,45,39.0,11.0,False
174,DXB,Menzies Aviation,2025-02-15,120,52.0,20.0,False
175,JFK,WFS,2025-06-10,60,52.0,6.0,False
176,LHR,dnata,2025-04-05,45,64.0,11.0,False
177,SIN,dnata,2025-05-30,60,53.0,11.0,False
178,NRT,Menzies,2025-01-13,45,79.0,15.0,False
179,FRA,Swissport,2025-05-20,45,76.0,12.0,False
180,FRA,dnata,2025-06-05,90,71.0,24.0,False
181,LHR,Menzies,2025-05-03,60,69.0,17.0,False
182,DXB,Menzies Aviation,2025-11-28,90,48.0,15.0,False
183,LHR,WFS,2025-07-30,45,72.0,21.0,False
184,YUL,Swissport,2025-07-13,90,57.0,22.0,False
185,JFK,dnata,2025-07-10,120,65.0,8.0,False
186,SIN,dnata,2025-04-17,90,72.0,23.0,False
187,FRA,Swissport,2025-11-06,120,35.0,22.0,False
188,LHR,Menzies Aviation,2025-09-17,45,54.0,21.0,False
189,FRA,Menzies,2025-08-09,45,72.0,9.0,False
190,FRA,Menzies,2025-11-12,45,71.0,16.0,False
191,YUL,Menzies Aviation,2025-10-26,120,66.0,23.0,False
192,NRT,Swissport,2025-07-20,45,84.0,16.0,False
193,FRA,Menzies Aviation,2025-04-13,120,80.0,13.0,False
194,LHR,Menzies Aviation,2025-02-05,90,47.0,14.0,False
195, LHR,Menzies Aviation,2025-06-17,90,66.0,27.0,False
196, LHR,Menzies Aviation,2025-09-14,60,66.0,-3.0,False
197,JFK,Swissport,2025-12-12,45,64.0,20.0,False
198,SIN,Menzies Aviation,2025-07-27,60,53.0,8.0,False
199,JFK,WFS,2025-05-08,90,49.0,16.0,False
200,NRT,dnata,2025-09-05,45,68.0,22.0,False
201,FRA,WFS,2025-12-25,60,47.0,15.0,False
202,NRT,WFS,2025-06-05,120,70.0,2.0,False
203,NRT,WFS,2025-04-10,60,44.0,11.0,False
204,JFK,WFS,2025-05-05,120,54.0,18.0,False
205,JFK ,Swissport,2025-07-06,90,61.0,4.0,False
206,YUL,WFS,2025-10-06,45,62.0,18.0,False
207,JFK,dnata,2025-10-21,60,68.0,21.0,False
208,SIN,Menzies Aviation,2025-07-14,60,70.0,27.0,False
209,FRA,Menzies Aviation,2025-07-19,45,52.0,19.0,False
210,FRA,dnata,2025-04-09,45,71.0,15.0,False
211,JFK,Menzies Aviation,2025-10-13,90,102.0,15.0,False
212,LHR,dnata,2025-07-12,90,85.0,8.0,False
213,JFK,dnata,2025-04-21,90,56.0,14.0,False
214,FRA,Menzies Aviation,2025-08-24,60,75.0,9.0,False
215,LHR,dnata,2025-11-16,90,68.0,14.0,False
216,NRT,Menzies Aviation,2025-06-05,45,37.0,7.0,False
217,NRT,WFS,2025-06-21,120,72.0,14.0,False
218,SIN,Swissport,2025-06-07,45,83.0,16.0,False
219,YUL,WFS,2025-04-28,120,66.0,-1.0,False
220,FRA,Swissport,2025-10-09,120,53.0,4.0,False
221,JFK,Swissport,2025-03-06,90,60.0,17.0,False
222,NRT,Menzies Aviation,2025-04-29,45,86.0,19.0,False
223,DXB,Menzies,2025-06-06,60,95.0,14.0,False
224,FRA,Swissport,2025-12-28,90,65.0,27.0,False
225,NRT,dnata,2025-11-06,45,61.0,19.0,False
226,NRT,dnata,2025-11-30,60,,12.0,False
227,LHR,WFS,2025-05-20,45,66.0,23.0,False
228,YUL,Menzies,2025-01-25,120,81.0,29.0,False
229,DXB,Menzies Aviation,2025-06-18,90,81.0,15.0,False
230,NRT,Menzies,2025-08-24,45,76.0,-2.0,False
231,SIN,WFS,2025-11-14,120,68.0,15.0,False
232,FRA,WFS,2025-07-20,60,69.0,11.0,False
233,FRA,WFS,2025-03-03,60,68.0,16.0,False
234,JFK,Swissport,2025-02-15,120,67.0,19.0,False
235,NRT,Swissport,2025-04-08,45,76.0,-2.0,False
236,LHR,Menzies,2025-01-05,90,75.0,26.0,False
237,NRT,Swissport,2025-09-24,120,81.0,17.0,False
238,JFK,dnata,2025-06-23,120,40.0,11.0,False
239,FRA,Swissport,2025-11-05,45,83.0,24.0,False
240,FRA,Swissport,2025-05-11,120,60.0,10.0,False
241,LHR,dnata,2025-02-23,60,100.0,21.0,False
242,DXB,Swissport,2025-05-09,45,100.0,6.0,False
243,LHR,Menzies Aviation,2025-12-04,45,83.0,17.0,False
244,YUL,Menzies Aviation,2025-07-21,120,57.0,21.0,False
245,yul,Swissport,2025-02-06,60,51.0,26.0,False
246,FRA,Menzies,2025-04-28,45,51.0,29.0,False
247,DXB,dnata,2025-07-08,60,91.0,19.0,False
248,FRA,Menzies,2025-05-19,60,54.0,11.0,False
249,FRA,Menzies,2025-09-03,120,79.0,27.0,False
250,JFK,WFS,2025-10-24,45,40.0,16.0,False
251,YUL,dnata,2025-08-20,120,58.0,7.0,False
252,DXB,Menzies Aviation,2025-11-15,120,78.0,6.0,False
253,LHR,dnata,2025-09-22,120,59.0,13.0,False
254,SIN,Menzies Aviation,2025-12-28,45,41.0,11.0,False
255,NRT,dnata,2025-08-09,120,54.0,5.0,False
256,YUL,Menzies,2025-01-06,45,82.0,21.0,False
257,YUL,dnata,2025-05-17,120,66.0,21.0,False
258,JFK,Menzies,2025-11-11,90,63.0,28.0,False
259,JFK ,Menzies Aviation,2025-06-16,45,50.0,12.0,False
260,JFK,Menzies Aviation,2025-10-18,120,34.0,20.0,False
261,LHR,Swissport,2025-05-21,60,70.0,23.0,False
262,JFK,WFS,2025-09-27,90,65.0,-0.0,False
263,NRT,Menzies,2025-03-24,90,74.0,30.0,False
264,FRA,Menzies Aviation,2025-01-26,90,54.0,5.0,False
265,NRT,Menzies,2025-05-10,45,70.0,22.0,False
266,JFK,Menzies Aviation,2025-11-15,45,81.0,12.0,False
267,NRT,Menzies,2025-12-23,45,86.0,2.0,False
268,YUL,Menzies Aviation,2025-01-18,60,62.0,11.0,False
269,YUL,dnata,2025-10-01,60,54.0,21.0,False
270,FRA,Swissport,2025-08-18,60,62.0,5.0,False
271,SIN,Swissport,2025-09-24,60,25.0,14.0,False
272,LHR,Menzies Aviation,2025-09-07,45,70.0,14.0,False
273,FRA,Menzies,2025-01-13,45,925.0,10.0,False
274,LHR,Swissport,2025-05-28,90,60.0,17.0,False
275,FRA,Swissport,2025-04-17,60,55.0,5.0,False
276,LHR,Menzies Aviation,2025-08-04,120,74.0,23.0,False
277,SIN,Menzies Aviation,2025-12-02,45,43.0,17.0,False
278,YUL,WFS,2025-01-19,120,51.0,9.0,False
279,LHR,dnata,2025-05-12,45,47.0,10.0,False
280,yul,Menzies Aviation,2025-06-20,90,38.0,25.0,False
281,JFK,Swissport,2025-10-06,45,57.0,32.0,False
282,JFK,dnata,2025-01-13,45,71.0,22.0,False
283,YUL,Menzies Aviation,2025-08-24,120,52.0,9.0,False
284,DXB,WFS,2025-12-04,45,70.0,9.0,False
285,DXB,Menzies Aviation,2025-06-19,120,75.0,27.0,False
286,DXB,dnata,2025-05-21,45,47.0,13.0,False
287,FRA,Swissport,2025-10-20,45,73.0,7.0,False
288,DXB,dnata,2025-01-07,90,,-3.0,False
289,FRA,WFS,2025-10-05,90,78.0,25.0,False
290,LHR,WFS,2025-09-25,120,71.0,16.0,False
291,NRT,WFS,2025-07-07,90,75.0,12.0,False
292,LHR,Menzies,2025-09-10,45,70.0,26.0,False
293,YUL,dnata,2025-09-02,45,60.0,21.0,False
294,SIN,WFS,2025-06-13,90,61.0,7.0,False
295,NRT,Menzies Aviation,2025-08-23,90,60.0,27.0,False
296,FRA,Swissport,2025-09-06,120,31.0,25.0,False
297,JFK ,Swissport,2025-02-02,45,70.0,28.0,False
298,NRT,Menzies,2025-02-15,90,71.0,14.0,False
299,DXB,Menzies Aviation,2025-11-06,45,71.0,18.0,False
300,NRT,dnata,2025-09-11,120,85.0,22.0,False
301,DXB,Menzies Aviation,2025-09-16,45,53.0,23.0,False
302,SIN,WFS,2025-02-20,60,96.0,15.0,True
303,YUL,WFS,2025-02-10,45,47.0,14.0,False
304,DXB,dnata,2025-09-20,60,42.0,24.0,False
305,SIN,dnata,2025-11-30,90,58.0,10.0,False
306,LHR,WFS,2025-01-25,90,50.0,22.0,False
307,LHR,Menzies Aviation,2025-12-27,120,64.0,11.0,False
308,YUL,Menzies Aviation,2025-08-16,90,54.0,2.0,False
309,FRA,dnata,2025-02-20,120,83.0,16.0,False
310,YUL,Swissport,2025-01-21,60,98.0,27.0,False
311,NRT,WFS,2025-08-29,45,63.0,22.0,False
312,LHR,WFS,2025-11-13,45,70.0,8.0,False
313,SIN,WFS,2025-04-03,45,54.0,30.0,False
314,FRA,Menzies,2025-12-04,45,74.0,21.0,False
315,DXB,Menzies,2025-12-16,120,83.0,19.0,False
316,LHR,Menzies Aviation,2025-09-21,90,58.0,15.0,False
317,LHR,WFS,2025-12-17,90,61.0,24.0,False
318,DXB,dnata,2025-12-04,120,77.0,19.0,True
319,YUL,Menzies,2025-04-24,60,32.0,22.0,False
320,YUL,WFS,2025-07-23,45,52.0,17.0,False
321,DXB,Menzies,2025-11-21,45,55.0,22.0,False
322,FRA,Swissport,2025-07-14,120,30.0,9.0,False
323,YUL,dnata,2025-01-26,90,63.0,4.0,False
324,JFK ,Swissport,2025-11-07,45,95.0,-8.0,False
325,JFK,Menzies,2025-09-07,90,80.0,9.0,False
326,FRA,Menzies,2025-03-04,60,66.0,13.0,False
327,FRA,WFS,2025-07-14,90,70.0,7.0,False
328,YUL,Menzies Aviation,2025-03-24,120,75.0,35.0,False
329,DXB,WFS,2025-07-19,90,65.0,17.0,False
330,yul,WFS,2025-04-21,60,88.0,27.0,False
331,SIN,Swissport,2025-11-17,120,77.0,29.0,False
332,yul,dnata,2025-12-03,120,60.0,16.0,False
333,NRT,WFS,2025-05-15,60,56.0,36.0,False
334,YUL,Swissport,2025-05-08,60,63.0,23.0,False
335,DXB,dnata,2025-03-10,45,66.0,14.0,False
336,NRT,Swissport,2025-05-09,120,80.0,17.0,False
337,DXB,WFS,2025-01-18,90,92.0,21.0,False
338,SIN,Menzies Aviation,2025-12-10,45,53.0,19.0,False
339,DXB,Swissport,2025-11-26,120,43.0,12.0,False
340,FRA,Menzies,2025-01-07,45,74.0,0.0,False
341,NRT,Menzies Aviation,2025-07-03,90,65.0,17.0,False
342,DXB,Menzies,2025-05-27,120,81.0,6.0,False
343,YUL,Menzies,2025-02-01,120,42.0,12.0,False
344,DXB,WFS,2025-01-07,90,92.0,20.0,False
345,JFK,dnata,2025-09-24,60,75.0,18.0,False
346,LHR,Menzies Aviation,2025-06-13,60,46.0,9.0,False
347,SIN,Menzies Aviation,2025-04-29,120,91.0,13.0,False
348,YUL,Swissport,2025-06-12,90,56.0,17.0,False
349,SIN,Menzies Aviation,2025-09-02,120,68.0,19.0,False
350,JFK ,Menzies Aviation,2025-05-29,90,50.0,23.0,False
351,DXB,WFS,2025-08-20,120,61.0,22.0,False
352,yul,dnata,2025-06-14,60,94.0,20.0,False
353,SIN,WFS,2025-12-21,45,43.0,28.0,False
354,YUL,Swissport,2025-12-25,45,50.0,13.0,False
355,NRT,Swissport,2025-04-03,120,96.0,17.0,False
356,SIN,dnata,2025-03-29,120,85.0,16.0,False
357,DXB,WFS,2025-10-26,60,45.0,19.0,False
358,DXB,dnata,2025-10-19,90,98.0,18.0,False
359,LHR,Menzies Aviation,2025-04-25,60,67.0,16.0,False
360,DXB,dnata,2025-11-24,90,53.0,18.0,False
361,DXB,Menzies,2025-07-12,45,67.0,20.0,False
362,YUL,dnata,2025-09-25,45,79.0,19.0,False
363,DXB,Menzies,2025-03-19,45,65.0,12.0,False
364,YUL,WFS,2025-07-17,60,73.0,18.0,False
365,YUL,dnata,2025-03-01,90,80.0,16.0,True
366,YUL,Swissport,2025-09-27,90,55.0,22.0,False
367,FRA,WFS,2025-12-02,120,76.0,27.0,False
368,YUL,Menzies,2025-09-04,60,84.0,12.0,False
369,YUL,Menzies,2025-01-01,60,78.0,13.0,False
370,LHR,dnata,2025-03-06,120,40.0,7.0,False
371,SIN,Swissport,2025-09-18,60,70.0,14.0,False
372,NRT,Menzies,2025-10-10,120,66.0,3.0,False
373,NRT,Menzies Aviation,2025-01-06,45,52.0,10.0,False
374,YUL,Swissport,2025-05-24,60,89.0,21.0,False
375,SIN,Menzies,2025-05-26,90,81.0,12.0,False
376,FRA,dnata,2025-10-20,60,67.0,12.0,False
377,YUL,Swissport,2025-05-07,120,55.0,25.0,False
378,JFK,WFS,2025-10-07,120,81.0,12.0,False
379,JFK,WFS,2025-01-02,120,64.0,2.0,False
380,LHR,dnata,2025-04-01,120,45.0,21.0,False
381,NRT,Menzies Aviation,2025-04-23,120,34.0,14.0,False
382,NRT,Swissport,2025-11-27,60,72.0,7.0,False
383,DXB,Menzies,2025-02-26,90,39.0,11.0,False
384,DXB,WFS,2025-02-03,60,44.0,13.0,False
385,LHR,WFS,2025-05-26,120,47.0,15.0,False
386,SIN,Menzies Aviation,2025-03-07,60,61.0,23.0,False
387,JFK,Swissport,2025-12-25,120,49.0,-2.0,False
388,YUL,Swissport,2025-11-14,120,64.0,20.0,False
389,DXB,Menzies Aviation,2025-09-08,60,61.0,17.0,False
390,NRT,WFS,2025-06-27,90,61.0,8.0,False
391,SIN,WFS,2025-11-20,60,67.0,8.0,False
392,SIN,Menzies Aviation,2025-11-05,45,73.0,16.0,False
393, LHR,dnata,2025-06-05,45,93.0,13.0,False
394,NRT,WFS,2025-03-04,90,57.0,21.0,False
395,JFK,Menzies,2025-07-24,120,78.0,6.0,False
396,DXB,Menzies Aviation,2025-05-09,45,90.0,19.0,False
397,NRT,Menzies Aviation,2025-01-02,120,79.0,16.0,False
398, LHR,Menzies Aviation,2025-07-01,120,34.0,22.0,False
399,FRA,dnata,2025-09-13,60,81.0,4.0,False
400,YUL,Menzies,2025-05-21,120,91.0,16.0,False
401,LHR,Swissport,2025-10-05,120,57.0,28.0,False
402,NRT,dnata,2025-07-15,120,48.0,-1.0,False
403,SIN,WFS,2025-10-21,45,71.0,-2.0,False
404,DXB,Menzies Aviation,2025-06-02,120,69.0,18.0,False
405,FRA,Menzies,2025-02-09,90,69.0,12.0,False
406,FRA,Swissport,2025-09-18,45,43.0,23.0,False
407,LHR,Swissport,2025-03-17,90,56.0,16.0,False
408,NRT,WFS,2025-11-27,60,84.0,10.0,False
409,YUL,Menzies,2025-10-11,90,55.0,9.0,False
410,LHR,Swissport,2025-09-03,120,57.0,15.0,False
411,NRT,Swissport,2025-02-22,120,60.0,8.0,False
412,JFK,Menzies,2025-11-21,90,71.0,16.0,False
413,yul,dnata,2025-12-25,45,39.0,8.0,False
414,JFK,Swissport,2025-11-21,60,49.0,27.0,False
415,NRT,Swissport,2025-07-19,60,70.0,15.0,False
416, LHR,Menzies Aviation,2025-06-21,120,83.0,19.0,False
417,SIN,Swissport,2025-08-18,90,76.0,6.0,False
418,NRT,dnata,2025-12-16,90,101.0,11.0,False
419,YUL,Swissport,2025-08-31,120,53.0,19.0,False
420,JFK ,dnata,2025-07-06,45,56.0,8.0,False
421,YUL,dnata,2025-09-24,120,86.0,20.0,False
422,DXB,dnata,2025-12-26,45,68.0,19.0,False
423,DXB,dnata,2025-05-11,60,51.0,7.0,False
424,SIN,dnata,2025-09-04,45,54.0,17.0,False
425,NRT,Swissport,2025-08-16,45,49.0,9.0,False
426,YUL,Menzies,2025-04-23,120,86.0,14.0,False
427,FRA,Menzies,2025-05-06,45,59.0,10.0,False
428,LHR,Menzies,2025-12-24,60,88.0,11.0,False
429,YUL,WFS,2025-08-06,45,52.0,21.0,False
430,DXB,WFS,2025-09-14,120,43.0,-0.0,False
431,SIN,dnata,2025-08-08,120,61.0,18.0,False
432,FRA,Menzies,2025-02-13,45,50.0,15.0,False
433,NRT,Menzies Aviation,2025-10-04,60,54.0,19.0,False
434,NRT,Menzies,2025-03-29,45,64.0,18.0,False
435,SIN,Menzies Aviation,2025-03-02,60,67.0,25.0,False
436,NRT,WFS,2025-10-30,45,75.0,3.0,False
437,JFK,dnata,2025-06-30,60,55.0,6.0,False
438,DXB,Menzies,2025-03-01,120,52.0,13.0,False
439,JFK ,Menzies Aviation,2025-05-29,60,56.0,13.0,False
440,FRA,dnata,2025-02-11,90,57.0,21.0,False
441,SIN,Menzies Aviation,2025-03-30,90,71.0,16.0,False
442,LHR,Menzies,2025-04-27,90,74.0,23.0,False
443,SIN,Menzies Aviation,2025-06-30,90,55.0,11.0,False
444,YUL,Swissport,2025-01-13,45,63.0,15.0,False
445,SIN,dnata,2025-02-22,90,68.0,8.0,False
446,SIN,dnata,2025-05-12,90,89.0,14.0,False
447,FRA,Swissport,2025-08-26,120,58.0,6.0,False
448,NRT,Menzies Aviation,2025-02-23,45,46.0,9.0,False
449,FRA,Menzies Aviation,2025-12-23,90,78.0,19.0,False
450,SIN,Menzies,2025-12-18,45,61.0,20.0,False
451,SIN,Menzies,2025-12-07,120,98.0,6.0,False
452,FRA,Menzies,2025-03-31,45,38.0,17.0,False
453,YUL,Menzies Aviation,2025-09-25,45,53.0,16.0,False
